,"BAMA, CH505  M11 D8gp120","BAMA, CH505  M5 D8","BAMA, p27","BAMA, RSC3","BAMA, _RSC3","BAMA, YU2 gp120","BAMA, YU2 D368R","BAMA, CH505w020.14D8gp120 293F Mon","BAMA, CH505.w30.12D8gp120 293F Mon","BAMA, CH505w030.20D8gp120 293F Mon","BAMA, CH505w136.B18D8gp120 Mon","BAMA, HxBc2 Core Ds109 428 GnTI","BAMA, CH0505 CON D7","BAMA, CH505 TF D7","Nab, CH0505.wk4.3",ADCC titer,Gzm B peak
EE32,8.419,8.499,3.313,4.01,3.891,6.126,5.905,8.516,8.382,8.572,8.345,5.554,8.569,8.732,172,679.1234695,13.1
EI94,9.056,9.152,1.638,4.573,4.53,7.384,7.157,8.993,9.077,8.973,8.831,6.949,9.133,9.042,621,1033.7841,16
GB06,9.774,9.628,2.7,5.424,5.261,7.835,7.754,9.811,9.703,9.755,9.815,6.834,9.994,9.916,1396,,
GH90,8.816,8.627,2.865,4.368,4.237,7.209,7.177,8.755,8.55,8.627,8.607,6.757,8.708,8.73,403,3335.602763,20.615
GI26,8.541,8.473,0.945,4.84,4.711,6.924,6.81,8.547,8.599,8.444,8.404,5.902,8.547,8.543,683,1186.012522,13.3
GI29,8.44,8.361,1.648,4.442,4.132,6.601,6.669,8.399,8.243,8.284,8.327,5.699,8.328,8.061,75,864.5542663,15.515
GI36,9.505,9.35,1.85,5.706,5.515,7.634,7.676,9.615,9.48,9.443,9.277,6.936,9.637,9.55,601,3016.688059,15.515
GI46,9.345,9.324,0.507,5.869,5.669,7.914,8.116,9.655,9.422,9.375,9.208,7.437,9.628,9.526,482,2487.050051,12.715
GM16,8.281,8.332,5.441,4.115,3.919,6.417,6.239,8.492,8.365,8.423,8.313,5.542,8.35,8.547,297,100,0
GM22,10.45,10.431,1.022,7.014,6.822,8.777,8.572,10.428,10.527,10.59,10.427,8.11,10.487,10.553,2600,1563.754519,19.9
GM40,8.73,8.635,4.754,5.125,4.881,6.585,6.399,8.646,8.617,8.676,8.539,6.073,8.527,8.592,620,874.9683121,11.67
HF57,9.773,9.614,1.951,4.766,4.96,7.455,7.241,9.653,9.627,9.708,9.613,6.258,9.739,9.616,1549,2810.693905,18.5
HP40,9.023,9.022,4.959,5.474,5.239,7.473,7.331,9.061,8.95,8.953,8.947,6.691,9.059,9.108,590,16878.86488,31.455
IA21,10.338,10.37,4.436,6.488,6.514,8.573,8.63,10.238,10.395,10.224,10.547,8.003,10.488,10.551,1152,6373.170684,11.29
IA36,8.085,8.178,1.581,4.133,4.005,6.179,6.319,8.255,8.197,8.238,8.072,5.605,8.259,8.239,505,544.9613244,8.29
IN66,9.411,9.291,2.106,5.544,5.389,7.289,7.263,9.37,9.431,9.276,9.399,6.894,9.483,9.417,574,19929.18274,40.995
JC25,9.022,9.109,3.391,5.634,5.704,7.288,7.296,9.206,9.219,9.014,9.156,7.031,9.425,9.408,1728,3159.33675,12.99
JE99,8.231,8.189,0.767,4.477,4.481,6.424,6.453,8.403,8.478,8.231,8.475,5.755,8.458,8.513,1217,1876.742393,8.79
